,Ia,Ib,Ic,Va,Vb,Vc
count,7861.0,7861.0,7861.0,7861.0,7861.0,7861.0
mean,13.721194281926095,-44.8452684591903,34.39239433560742,-0.007667090023533899,0.00115210285459865,0.0065149871695713004
std,464.74167085071764,439.26919548763243,371.10741227146997,0.2891501908237627,0.3134370487966376,0.3078971302786378
min,-883.5423165,-900.5269515,-883.3577621,-0.62074797,-0.608016002,-0.612709171
25%,-119.8025178,-271.8459465,-61.03421916,-0.13028669,-0.159506881,-0.215976724
50%,2.04280533,5.51331694,-4.326711269,-0.005289998,0.001620032,0.009281104
75%,227.2463773,91.19428155,49.11514083,0.111627134,0.153506724,0.23997303
max,885.7385707,889.8688838,901.2742607,0.595342181,0.627874757,0.600178804
