Ia,Ib,Ic,Va,Vb,Vc,G,C,B,A,Fault_Code,Fault_Type
0.8733965202356933,-0.7749760049814461,-0.0915134198354627,0.03705793272229213,-0.33727875377697514,0.32141652799191717,0,1,1,1,0111,LLL Fault
-0.012483219859427186,0.10376025489552315,-0.10039670644697658,-0.9796346183877613,0.6520044309191246,0.3327481626495221,0,0,0,0,0000,No Fault
0.012823526046170024,0.09296344812881188,-0.1149449830211126,-0.847080784391617,0.8865100115211718,-0.0391127759551843,0,0,0,0,0000,No Fault
0.3987043337795686,-0.9752763623827729,0.5777590030685181,-0.02275564108240189,-0.040836087358429696,0.07932055957708478,1,1,1,1,1111,LLLG Fault
-0.07267380971004929,0.7433264325177418,-0.6760901265439168,-0.1927885303628283,-0.057577842120591485,0.26686369022054895,0,1,1,0,0110,LL Fault
0.05699594639242877,-0.2642712794233755,0.20642303452941393,0.7803219771327629,0.014541022229619258,-0.7823141294490925,0,1,1,0,0110,LL Fault
-0.5916494178923837,0.013873691392012071,-0.05617042227775872,-0.4213367755496278,0.9251808969954438,-0.5053902294845047,1,0,0,1,1001,LG Fault
0.9613576941374196,-0.7079321321325436,-0.24823406499745243,0.03524391260364716,-0.08132230965245041,0.06242174763039595,1,1,1,1,1111,LLLG Fault
-0.06502161979608592,-0.10531226320399438,0.16741598726462606,-0.8010178523351925,-0.08307365052480337,0.9026851623944415,0,1,1,0,0110,LL Fault
-0.0006020043271284093,-0.7868179188343397,0.787287226046304,-0.5430888725288262,-0.0388637933006828,0.5990235620505977,0,1,1,0,0110,LL Fault
0.04561551363826885,0.05688154618862088,-0.11087920478200848,-0.4314862747375379,0.9968966593753776,-0.5682905006108822,0,0,0,0,0000,No Fault
0.01786371792554568,-0.8515685615201045,0.833982001018243,-0.361005792735838,-0.021000708040733868,0.39825568432439457,0,1,1,0,0110,LL Fault
-0.9988081180239632,0.5237282162435475,0.4618974545699148,-0.009726931009409943,0.05235560548438409,-0.028702840859939627,0,1,1,1,0111,LLL Fault
0.04803929278550566,0.04755421858822871,-0.10390813937085623,-0.39875621277028167,0.9877481857601622,-0.5917852540623669,0,0,0,0,0000,No Fault
0.031292622262833206,0.06991876368636536,-0.1097337070077442,-0.6729104650071293,0.9704085189296248,-0.2992354602115824,0,0,0,0,0000,No Fault
-0.03589448859107078,-0.002722095810023235,0.02955678637021529,0.8345249734696685,-0.859328055708846,0.053791249565877546,0,0,0,0,0000,No Fault
0.4774565175667942,0.08044366121690745,-0.058429825083039656,-0.5721399852041067,0.6333136317268959,-0.056781322868697776,1,0,0,1,1001,LG Fault
-0.2393254167065079,-0.05972303418897951,0.04376530859287751,0.6479526656408223,-0.8277554060099578,0.20868640359611532,1,0,0,1,1001,LG Fault
0.01948638511240682,0.5292337425712113,-0.5524861406312481,0.8045035544408419,0.03579657237327074,-0.8282187228862379,0,1,1,0,0110,LL Fault
0.7694994582542506,-0.9233399212102413,-0.03749725751386154,0.007768462718188792,-0.15185253359435466,0.16183868381454874,1,0,1,1,1011,LLG Fault
0.21677292778930327,-0.9503551964609703,0.7331725156041371,-0.031693096904293505,-0.028588024259189382,0.075801219692938,1,1,1,1,1111,LLLG Fault
0.03643324803107612,-0.029163285680678656,-0.015473010346023993,0.8792496593453623,-0.018513240618866042,-0.8478225679541039,0,0,0,0,0000,No Fault
0.5886898140002697,-0.5902485511470781,0.0055629024541734625,0.06928833271999757,-0.8155930398052276,0.7764917089578824,0,1,1,1,0111,LLL Fault
-0.051614453522142806,0.11620058537049191,-0.0744813867715871,-0.9275975387781921,0.15723159153421584,0.7847350309738903,0,0,0,0,0000,No Fault
0.047339330824146375,0.05029015624914041,-0.10622026194606128,-0.40037577033217825,0.9900917585872167,-0.592549450121931,0,0,0,0,0000,No Fault
-0.8426245429912199,-0.0391308234889947,0.869328349262522,-0.0396283934709705,0.04321320198494988,0.010593791693123798,1,1,1,1,1111,LLLG Fault
-0.05964353564402196,0.11156630846771569,-0.06158932179696991,-0.8564967951952436,0.0011468869636559985,0.8724924387546731,0,0,0,0,0000,No Fault
0.6996817123589171,0.08486296912988743,-0.04859893307456795,-0.4903615118580136,0.4025606594894849,0.09635525696340068,1,0,0,1,1001,LG Fault
0.9431263175180474,-0.7321315077647936,-0.09278940887880197,0.03276004905330417,-0.20671533073579682,0.1926847429199181,1,1,1,1,1111,LLLG Fault
-0.07305158827807405,0.07104055600682611,-0.0014163611356203896,-0.7528652117173507,-0.08475992415766577,0.8561231324906956,0,1,1,0,0110,LL Fault
0.18914927811695179,0.06854689169480574,-0.06490302579576875,-0.6076377498759958,0.8285583685637056,-0.22013925111317328,1,0,0,1,1001,LG Fault
0.05211773464977043,-0.7631733338293654,0.7113681843698568,0.14631217500913718,0.020128273327432507,-0.15231673663533088,0,1,1,0,0110,LL Fault
0.023398653848296657,-0.03024219612153787,-0.0014725876041029769,0.9605343321294607,-0.23148395351016615,-0.7123105816050253,0,0,0,0,0000,No Fault
-0.21485165930978017,-0.7224210684212564,0.934728656338173,-0.0463463263423798,0.001432321576247026,0.059903271303775034,0,1,1,1,0111,LLL Fault
-0.05203866348531479,-0.31681203783354056,0.36660874038394475,-0.81358660966575,-0.07740855435913166,0.909514641642516,0,1,1,0,0110,LL Fault
0.9702198839194016,-0.6850357635779558,-0.2775915894770026,0.03736984709779142,-0.08198282110466042,0.06096322423396305,0,1,1,1,0111,LLL Fault
0.17290555672261604,-0.9360391162770852,0.7646801284274944,-0.03216799097322837,-0.02590807866053474,0.07354657278163357,0,1,1,1,0111,LLL Fault
-0.05051230518938937,0.1118926312520103,-0.07084075777922394,-0.9250474136929343,0.15354144500080366,0.7859383194130721,0,0,0,0,0000,No Fault
0.9947887820036357,-0.55053925211006,-0.43927551804417986,0.04845248269755955,-0.08407648025791248,0.05198459785059426,1,1,1,1,1111,LLLG Fault
0.05009067715655591,-0.02101501556561844,-0.0373101246973057,0.7015056345111376,0.27217007858540027,-0.9658067919342295,0,0,0,0,0000,No Fault
-0.8354497872518476,-0.014451204910254516,-0.04199466516041349,-0.23444495029053153,0.7672940428548021,-0.5318945372302882,1,0,0,1,1001,LG Fault
-0.5899525466823231,-0.07158388275561546,0.03379515746225606,0.579087728340627,-0.5554548037526025,0.0002659920461210441,1,0,0,1,1001,LG Fault
